Subject,Retractions
(BLS) Biology - Cellular,8772
(B/T) Technology,7093
(BLS) Genetics,5820
(B/T) Computer Science,5379
(BLS) Biochemistry,5229
(BLS) Biology - Cancer,4705
(SOC) Education,3904
(PHY) Mathematics,3535
(BLS) Biology - Molecular,3490
(B/T) Business - Economics,3070
(B/T) Business - Management,2550
(HSC) Medicine - Oncology,2500
(B/T) Data Science,2130
(PHY) Materials Science,2040
(ENV) Environmental Sciences,1952
(PHY) Chemistry,1879
(HSC) Medicine - Pharmacology,1836
(BLS) Toxicology,1736
(HSC) Medicine - Surgery,1706
(B/T) Business - General,1634
(HSC) Medicine - Cardiovascular,1523
(SOC) Psychology,1402
(PHY) Engineering - Electrical,1383
(HSC) Medicine - Neurology,1289
(BLS) Microbiology,1281
(PHY) Engineering - General,1247
(HSC) Medicine - Obstetrics/Gynecology,1198
(BLS) Plant Biology/Botany,1153
(B/T) Government,1140
(SOC) Sociology,1073
(PHY) Physics,1026
(HSC) Medicine - Infectious Disease,1009
(PHY) Engineering - Mechanical,1007
(HSC) Medicine - Gastroenterology,976
(BLS) Agriculture,969
(HSC) Medicine - Rehabilitation/Therapy,967
(HSC) Medicine - Orthopedics,964
(PHY) Engineering - Chemical,959
(HSC) Public Health and Safety,948
(BLS) Neuroscience,919
(HSC) Medicine - Immunology,894
(BLS) Biology - General,871
(HSC) Medicine - General,845
(HSC) Radiology/Imaging,845
(ENV) Ecology,845
(SOC) Sports and Recreation,822
(B/T) Urban Planning,820
(PHY) Nanotechnology,800
(PHY) Energy,796
(HSC) Medicine - Anesthesia/Anaesthesia,787
(B/T) Transportation,764
(HSC) Medicine - Pulmonology,746
(HSC) Medicine - Pediatrics,723
(HSC) Medicine - Cardiology,718
(BLS) Anatomy/Physiology,672
(SOC) Communications,664
(PHY) Engineering - Structural,655
(BLS) Zoology,642
(HSC) Medicine - Urology/Nephrology,624
(ENV) Ground/Surface Water,623
(SOC) Law/Legal Issues,575
(B/T) Business - Marketing,555
(HSC) Biostatistics/Epidemiology,531
(HSC) Medicine - Drug Design,502
(B/T) Business - Accounting,489
(B/T) International Relations,488
(SOC) Linguistics,484
(PHY) Geology,467
(PHY) Crystallography/Spectroscopy,466
(HSC) Medicine - Endocrinology,441
(HSC) Medicine - Pathology,441
(HSC) Medicine - Diabetes,416
(HSC) Medicine - Alternative,414
(HUM) Arts - General,400
(HSC) Medicine - Otorhinolaryngology,399
(SOC) Political Science,399
(HSC) Medicine - Dentistry,380
(HSC) Medicine - Psychiatry,355
(B/T) Business - Manufacturing,342
(HSC) Medicine - Nursing,314
(HSC) Medicine - Ophthalmology,287
(HSC) Medicine - Geriatric,264
(HSC) Medicine - Dermatology,249
(HSC) Medicine - Internal,248
(HUM) History - Europe,247
(HSC) Occupational Health and Safety,246
(HUM) Arts - Music,237
(ENV) Food Science,228
(PHY) Statistics,227
(HUM) Architecture,220
(HSC) Veterinary Science,215
(HSC) Sports Science,213
(SOC) Criminology,211
(BLS) Nutrition,196
(HUM) Religion,186
(ENV) Climatology,183
(PHY) Hydrology,178
(HUM) Arts -Literature/Poetry,174
(HSC) Medicine - Sports,152
(HSC) Nutrition,147
(SOC) Military/Naval Studies,144
(HUM) Philosophy,121
(BLS) Parasitology,109
(B/T) Business - Public Relations,109
(SOC) Philosophy,108
(ENV) Climate Change,105
(SOC) Ethics/Bioethics,99
(HUM) History - Asia,92
(HUM) History - General,80
(PHY) Astrophysics,76
(SOC) Sexual And Marital Studies,74
(HSC) Medicine - Transplantation,65
(BLS) Anthropology,59
(HUM) Arts - Film Studies,45
(HUM) Journalism,43
(BLS) Archeology,36
(SOC) Forensics,26
(PHY) Cosmology,25
(HUM) Cartography,25
(PHY) Astronomy,23
(BLS) Paleontology,22
(BLS) Forensic Sciences,20
(HUM) Arts - Biography,20
(HUM) History - North America,13
(HUM) History - Africa,11
(B/T) Foreign Aid,9
(HUM) History - South America,7
(HUM) History - United States,7
(PHY) Forensic Sciences,3
(HUM) History - Australia,1
