Year Retracted,Retractions
1756,1
1927,1
1940,1
1942,1
1960,1
1966,1
1967,2
1968,1
1970,7
1971,1
1975,2
1977,31
1979,5
1980,14
1981,3
1982,5
1983,13
1984,8
1985,14
1986,28
1987,12
1988,6
1989,15
1990,19
1991,23
1992,25
1993,28
1994,22
1995,25
1996,26
1997,46
1998,71
1999,51
2000,41
2001,37
2002,124
2003,90
2004,127
2005,139
2006,212
2007,329
2008,450
2009,1183
2010,5012
2011,4932
2012,1153
2013,1446
2014,1111
2015,1544
2016,1681
2017,1702
2018,2532
2019,2903
2020,3071
2021,3897
2022,5505
2023,7207
2024,850
